date,ADA,ALGO,ANKR,ARPA,ATOM,BAND,BAT,BCH,BEAM,BNB,BTC,CELR,CHZ,COS,CTXC,CVC,DASH,DENT,DOCK,DOGE,DUSK,ENJ,EOS,ETC,ETH,FET,FTM,FTT,FUN,GTO,HBAR,HOT,ICX,IOST,IOTA,IOTX,KAVA,KEY,LINK,LTC,MATIC,MFT,MITH,MTL,NEO,NKN,NULS,OMG,ONE,ONG,ONT,PERL,QTUM,REN,RLC,RVN,STX,TFUEL,THETA,TOMO,TROY,TRX,VET,VITE,WAN,WAVES,WIN,XLM,XMR,XRP,XTZ,ZEC,ZIL,ZRX
2020-01-01 00:00:00+00:00,0.03303,0.2194,0.001459,0.01053,4.315,0.222,0.1826,205.71,0.5383,13.817,7225.01,0.00363,0.00716,0.00948,0.0633,0.01801,41.39,0.0001595,0.00792,0.0020097,0.0425,0.08052,2.6085,4.5249,130.2,0.03794,0.01091,2.16,0.00312,0.00869,0.0103,0.0006367,0.1144,0.004754,0.1589,0.00338,1.133,0.001694,1.7932,41.53,0.01388,0.000858,0.00716,0.2316,8.716,0.01738,0.2226,0.6087,0.00464,0.0951,0.5194,0.02064,1.614,0.03123,0.4115,0.02316,0.0943,0.002367,0.08772,0.4322,0.0067391,0.01329,0.005349,0.01061,0.1747,1.0129,9.29e-05,0.04517,45.04,0.19397,1.3424,27.66,0.00452,0.1811
2020-01-01 04:00:00+00:00,0.03315,0.2158,0.00146,0.01078,4.339,0.2249,0.1832,206.59,0.5379,13.7608,7209.83,0.00359,0.007135,0.00944,0.0622,0.01788,41.47,0.000159,0.00769,0.0020079,0.0412,0.07941,2.6137,4.5206,130.24,0.03818,0.01083,2.154,0.003146,0.00864,0.01039,0.0006266,0.1147,0.004753,0.1601,0.00338,1.0962,0.001702,1.7857,41.58,0.01413,0.000845,0.00735,0.2301,8.714,0.01738,0.2254,0.6078,0.00461,0.0945,0.5197,0.0213,1.605,0.03109,0.3937,0.02282,0.0939,0.002363,0.08772,0.4403,0.0066969,0.01323,0.005314,0.01069,0.172,1.0261,9.21e-05,0.04499,45.67,0.19438,1.3384,27.81,0.00448,0.1807
2020-01-01 08:00:00+00:00,0.03312,0.217,0.001449,0.01035,4.336,0.228,0.1908,205.96,0.5493,13.719,7197.2,0.00362,0.007102,0.00945,0.063,0.018,41.61,0.0001599,0.007738,0.002012,0.0422,0.07998,2.6183,4.5275,130.74,0.03883,0.0106,2.152,0.003148,0.00865,0.0103,0.0006188,0.1148,0.004819,0.1609,0.00341,1.0932,0.00169,1.8153,41.59,0.01508,0.000847,0.00741,0.2302,8.796,0.01729,0.2283,0.6102,0.0047,0.0985,0.5218,0.02069,1.604,0.0318,0.4297,0.02263,0.0963,0.002364,0.08734,0.4489,0.0066845,0.01321,0.005403,0.01084,0.1746,1.0112,9.24e-05,0.04504,45.1,0.19358,1.34,27.82,0.00451,0.1835
2020-01-01 12:00:00+00:00,0.03358,0.2241,0.001514,0.01036,4.417,0.2315,0.1886,206.06,0.5404,13.8223,7234.19,0.00367,0.007107,0.00945,0.0632,0.01786,42.15,0.0001602,0.008021,0.0020191,0.0425,0.07957,2.6264,4.5296,132.08,0.03916,0.01064,2.152,0.003122,0.00873,0.01059,0.000622,0.1155,0.004863,0.1608,0.00341,1.106,0.00166,1.8392,41.95,0.01503,0.000854,0.00742,0.2298,8.964,0.01777,0.232,0.6133,0.00469,0.0973,0.5277,0.02056,1.619,0.03151,0.4275,0.02289,0.0995,0.002388,0.08898,0.4481,0.0068211,0.01331,0.005448,0.01116,0.1781,1.0465,9.3e-05,0.04539,45.57,0.19394,1.3425,27.91,0.00451,0.1843
2020-01-01 16:00:00+00:00,0.03362,0.2206,0.001452,0.01072,4.401,0.2379,0.1917,205.27,0.5478,13.7229,7229.48,0.00363,0.006943,0.00951,0.0627,0.01797,41.95,0.0001585,0.008214,0.0020325,0.0426,0.08167,2.6202,4.5257,131.86,0.03949,0.01065,2.153,0.003205,0.00906,0.01061,0.0006299,0.1153,0.004875,0.163,0.003428,1.1154,0.001658,1.8201,41.63,0.01494,0.000862,0.00757,0.2283,8.917,0.01826,0.2314,0.62,0.00465,0.0959,0.5377,0.0208,1.609,0.0323,0.4318,0.02299,0.098,0.002385,0.08835,0.4451,0.00677,0.0133,0.005394,0.01099,0.1788,1.0701,9.34e-05,0.04543,45.61,0.19395,1.3693,28.27,0.00455,0.1845
2020-01-01 20:00:00+00:00,0.03348,0.2201,0.001439,0.01064,4.38,0.237,0.1962,204.44,0.5442,13.7184,7200.85,0.00362,0.006923,0.00948,0.064,0.01799,41.84,0.0001579,0.007755,0.0020245,0.0426,0.07963,2.6039,4.5035,130.77,0.03832,0.01058,2.144,0.003327,0.00886,0.01035,0.0006275,0.1146,0.004817,0.1606,0.003457,1.1364,0.001659,1.8111,41.62,0.01496,0.000854,0.00757,0.2277,8.85,0.01809,0.2308,0.6214,0.00466,0.0956,0.5275,0.02064,1.603,0.032,0.4177,0.0227,0.0989,0.002383,0.08656,0.4458,0.0067787,0.01322,0.005358,0.01104,0.1758,1.0446,9.3e-05,0.04529,45.82,0.19305,1.37,28.07,0.00454,0.1825
2020-01-02 00:00:00+00:00,0.03305,0.2174,0.001414,0.01029,4.241,0.234,0.1888,201.08,0.5353,13.5205,7129.61,0.00355,0.006855,0.00931,0.0634,0.01758,41.16,0.0001539,0.00749,0.0020045,0.0416,0.07756,2.573,4.4004,129.1,0.03775,0.01052,2.146,0.003276,0.00894,0.01019,0.000622,0.1131,0.00477,0.1592,0.003375,1.0996,0.001673,1.7832,41.18,0.01494,0.000846,0.0074,0.2284,8.674,0.01809,0.226,0.6108,0.00463,0.0942,0.518,0.02068,1.584,0.03222,0.4166,0.0224,0.0981,0.00236,0.08517,0.4311,0.006767,0.01307,0.005302,0.01068,0.1735,1.0285,9.25e-05,0.04478,45.57,0.19093,1.3401,27.64,0.00448,0.1815
2020-01-02 04:00:00+00:00,0.03302,0.2155,0.001403,0.01027,4.221,0.2323,0.189,201.56,0.5286,13.449,7110.57,0.00358,0.006884,0.0092,0.0625,0.01783,40.8,0.0001534,0.007378,0.0020059,0.0409,0.078,2.576,4.4032,129.26,0.03818,0.01051,2.148,0.003363,0.00896,0.01016,0.0006195,0.1131,0.004775,0.1583,0.003434,1.1054,0.001639,1.7888,41.17,0.01551,0.00083,0.0074,0.2277,8.647,0.01811,0.2307,0.6124,0.00462,0.0952,0.5154,0.02035,1.593,0.03228,0.409,0.02235,0.0959,0.002361,0.08565,0.4228,0.0067948,0.01308,0.005329,0.01056,0.1718,1.0285,9.34e-05,0.04492,45.64,0.19081,1.3506,27.55,0.00447,0.1803
2020-01-02 08:00:00+00:00,0.03322,0.2176,0.001429,0.01042,4.261,0.2398,0.1914,202.34,0.5318,13.4821,7139.79,0.00357,0.006861,0.00925,0.0629,0.01825,41.18,0.000153,0.007386,0.0020195,0.0412,0.07754,2.5828,4.417,129.53,0.03876,0.0105,2.145,0.003361,0.009,0.01066,0.0006274,0.1137,0.004821,0.1597,0.003384,1.0978,0.001675,1.7979,41.4,0.01555,0.000832,0.00742,0.2267,8.69,0.01875,0.2272,0.6172,0.00466,0.0955,0.5191,0.02103,1.591,0.03389,0.4072,0.02271,0.101,0.002362,0.08867,0.4385,0.006773,0.01318,0.005382,0.01074,0.1729,1.0161,9.28e-05,0.0451,45.89,0.19142,1.3426,27.59,0.00451,0.1805
2020-01-02 12:00:00+00:00,0.03317,0.2172,0.001442,0.01027,4.218,0.2345,0.1939,202.58,0.5315,13.4044,7130.98,0.00358,0.007019,0.00921,0.0637,0.01859,40.91,0.0001599,0.007409,0.0020057,0.0411,0.07775,2.558,4.3872,129.59,0.03856,0.01055,2.151,0.003426,0.00907,0.01043,0.000622,0.1132,0.004748,0.1604,0.003384,1.0939,0.001729,1.7985,41.17,0.01527,0.000838,0.00751,0.2254,8.707,0.01968,0.2258,0.6098,0.00469,0.0963,0.5153,0.0208,1.584,0.03615,0.408,0.02278,0.1003,0.002377,0.08855,0.4489,0.0066481,0.01313,0.005301,0.01074,0.1801,1.017,9.29e-05,0.0449,45.71,0.19054,1.3317,27.44,0.00451,0.1829
